prime,variance,Sp^2,Fp^2,Mp^2,-2SF,2MF,-2MS,half
106937,40.27898012573286,8911.416665887391,8871.138103453219,9.154811346612925e-33,-17742.275789214877,1.3801386705649351e-30,-0.0,False
194819,66.46226318368073,43459.91666623892,39851.582997807134,123.36018814976819,-83121.6772127126,3418.5114703248696,-3665.2318466244064,False
153953,54.73236365586556,12829.416666125377,12774.684609922708,1.6132473275389527e-32,-25549.368912392223,5.282447063197316e-31,0.0,False
132409,48.08557924707572,11034.08333270397,10985.998103382844,2.948800238279562e-32,-21971.995856839745,-1.811742866398963e-30,0.0,False
103867,39.41570008766262,10336.583332531025,10508.85302656736,6.275021677424578,-20799.7456373333,-217.959988973368,205.40994561851883,False
152833,54.334193062939526,12736.083332788075,12681.749449431436,5.66612372337442e-34,-25363.498589156574,2.1757915097757772e-31,0.0,False
175493,61.10367181053927,14624.416666191813,14563.313269795914,1.1173781633958577e-31,-29126.626264177183,-4.185404097309135e-30,-0.0,False
150881,53.64023868079393,12573.416666114355,12519.776741146638,1.0014974460112384e-33,-25039.553168580198,-4.3951430773521775e-31,-0.0,False
103681,39.3451178854953,8640.083332529586,8600.738642237862,5.661630027807689e-32,-17201.47685688195,-3.2059958424746954e-30,-0.0,False
145723,52.172637835109136,14544.583332761473,13938.316059754283,36.29299627213913,-28394.433758408508,517.8019614297373,-590.3879539740155,False
188861,64.86651924467715,15738.416666225425,15673.550406430857,2.374738174639166e-32,-31347.1005534116,6.32274038997678e-31,-0.0,False
163171,57.206566583432654,18926.58333282262,18390.724859322807,11.259793706212655,-37248.84183185579,467.39240738013837,-489.9119947925637,False
181639,62.811895521269115,131417.58333287455,120132.20265865925,284.6919434238953,-251202.28215258854,10937.877103200877,-11507.260990048668,False
154883,55.06298747649628,22707.916666128625,21279.588134217785,51.80125095231895,-43880.640561917586,1321.4645990891056,-1425.0671009937435,False
197947,67.52936849797166,21256.583332912345,20185.445781233935,59.327493285225444,-41315.17225236309,944.2809391201966,-1062.9359256906473,False
128393,46.963802455637705,10699.416666017618,10652.453221837053,3.013846010530778e-33,-21304.906085399034,-5.008817627824054e-31,-0.0,False
144829,51.85256646142784,12069.083332757942,12017.231090817226,2.2244185635749674e-34,-24034.461857113736,0.0,-0.0,False
100669,38.49045066989305,8389.083332505537,8350.593318911773,1.1900990722322165e-30,-16701.186200747416,-3.784662888092515e-30,0.0,False
186727,64.13357787350276,38969.58333288705,37746.015505361356,14.723471423331018,-76636.7417889516,1144.7110406440709,-1174.1579834907325,False
179461,62.05873603312399,14955.08333286898,14893.024868018309,3.757708256551769e-32,-29786.04946485416,4.2754369496766796e-30,0.0,False
100801,38.54091927884143,8400.083332506621,8361.542849731552,1.7413823564231851e-31,-16723.08526295933,2.891635999422716e-30,-0.0,False
119101,44.203311511892664,9925.083332633647,9880.880401751192,2.5411043481095954e-32,-19761.76042287295,-1.012789852755537e-30,0.0,False
164239,57.5809957889548,114175.58333282595,100015.84367825929,532.8533067969782,-213600.99270849925,13569.305644237817,-14635.012257831771,False
110023,41.441331749321975,22857.583332575916,22561.906328871904,1.1915271649651078,-45376.856802533526,253.04455076558295,-255.42760509551317,False
132361,48.06814784690434,11030.083332703742,10982.015534909682,1.5297669636851797e-32,-21964.030719766517,-7.614839997010672e-31,0.0,False
166247,58.284978856029454,71934.9166661654,71767.5918579729,0.05122553523606636,-143644.17231974704,108.98889252829322,-109.09134359876535,False
158017,55.785683305921566,13168.083332805963,13112.297951155408,3.0689809919071984e-33,-26224.595600655444,3.775245189005842e-31,0.0,False
106859,40.249601188716376,20785.916665886823,18750.012012904175,91.679285881578,-39403.99979172071,1903.9761839088019,-2087.3347556719577,False
139721,50.379825709883285,11643.41666607024,11593.037174359375,3.5022945988922333e-34,-23186.074014719732,-1.364372156785844e-32,0.0,False
180623,62.460559405028086,111772.9166662053,100937.40331125214,317.95159359570494,-212329.90782445672,10455.101471390279,-11091.004658581689,False
147727,52.890113350754845,57679.58333276923,54019.45454828052,74.70239800005244,-111571.44536969894,3532.5365912924085,-3681.941387292513,False
122219,45.03062446349927,33593.91666598483,30608.640084910356,98.62372612655773,-64058.90240030515,2841.6226041307305,-3038.870056383846,False
109001,41.056392155799664,9083.416665902148,9042.36068352866,1.955649951432496e-31,-18084.72095727501,1.7711546729954683e-30,0.0,False
195907,66.8334302350522,22254.58333290796,22490.084093039346,3.758940358525637,-44674.07505535373,-306.0928789047663,298.57499818771504,False
104911,39.811871208186915,44463.58333253901,39832.30851318128,157.8630306158996,-84098.2169438962,4433.600340114207,-4749.326401346006,False
161167,56.89773469182557,40655.58333281627,43018.53284039012,51.50631186142703,-83565.71212665315,-2471.353258367584,2368.34063464473,False
110917,41.77805978775922,9243.08333258202,9201.305675497919,6.461413063125763e-32,-18402.61094829218,2.9347321267358303e-30,0.0,False
152939,54.37187706407303,44785.91666612179,43392.49328587802,14.29056195945293,-88109.74751297626,1324.7612507118913,-1353.3423746307972,False
196879,67.1650243418644,58431.583332910064,55729.20567851287,42.659122333540815,-114050.96486474747,2592.553758298746,-2677.872002965827,False
