prime,max,min,mean,median,std dev,x_max,x_min
128677,248.59311671665367,-248.59311671665407,-5.880612633765757e-15,0.0,103.32480828585281,42951,85726
184489,247.54814782289122,-247.5481478228916,-5.67913478008127e-15,0.0,123.73648888518578,8149,176340
128173,211.90829676714074,-211.90829676714074,-5.336069341696317e-15,0.0,103.12225928407666,47936,80237
185519,753.913226043554,0.0,595.6249140780179,639.2129663437836,124.08141783052521,101250,0
178351,680.684191961342,0.0,351.1630081607118,332.9593456872281,121.65898532901335,59490,0
146609,229.85275630341226,-229.85275630341206,-2.382159113566046e-15,0.0,110.29472853051311,42576,104033
106163,284.05287157344526,-68.10364782633741,78.35509251320585,45.203223830339546,93.84364714990208,49178,8094
136883,341.07081830163236,-23.71513678793885,111.9419554238421,78.41654683758941,106.57019598908401,68351,40560
186037,266.4559403874745,-266.45594038747424,-4.732342874353997e-15,0.0,124.25452508883639,67460,118577
168631,384.5894784409653,-37.19326971569623,181.02612781257358,182.5310259856562,118.293967867858,53378,4352
164023,402.9610943447945,0.0,199.8437967553764,199.22481513870545,116.66652629154308,61815,0
101561,189.10523921191978,-189.10523921191955,-4.871605417084048e-15,0.0,91.7855413610245,27116,74445
102077,226.63619064731887,-226.636190647319,-4.811339860667744e-15,0.0,92.02000140614639,34032,68045
196799,579.0868833035566,0.0,412.3374282905675,446.2741393637447,127.79976206658864,113537,0
136897,240.99374783457952,-240.99374783457964,-4.6771241886099874e-15,0.0,106.57564569648693,18151,118746
177347,378.914272490246,-116.81846058480227,89.56478819319446,52.62971436712564,121.31607161700487,95498,163743
100547,322.7694452704891,-8.948244148812853,110.12720374941043,76.53186879859206,91.32619174148556,50273,99299
106181,216.75864318330568,-216.75864318330588,-2.1927712458337145e-15,0.0,93.85160243589701,26932,79249
147139,279.91679709264207,-109.11523951126179,79.97059345784587,76.03428769204751,110.49390958610584,58528,27991
135367,271.24745712406315,-109.99057791656027,107.60096559009423,111.67131094419602,105.97841235620207,49560,127303
166603,296.6492498644326,-124.11061431281979,59.26977861228631,12.662718035692412,117.58049937099011,66363,145810
189643,334.91134366586994,-154.62898230138518,56.90765601714015,8.939243360988254,125.45297320958247,118294,23870
176333,253.46926500033373,-253.46926500033416,-3.2184826090766175e-15,0.0,120.96702359497556,57187,119146
